MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN
598.5071087785713,709.0897475580905,827.767551730787,926.6299140936829,1010.1816068718944,1010.1816068718944,1010.3344044401042,1007.1398218061003,172.1536136394257,198.0403260140225,0.3920535553540385,0.27972686599728824,0.15917733860333105,0.05875577163066614,-0.02611365401797361,-0.02611365401797361,-0.0262688614281803,-0.02302389553557127,0.8251312711078185,0.7988362872707406
607.8235248838408,724.7856660395013,840.8668807467714,929.5908650972056,1004.8029482998612,1004.8029482998612,1005.1912186715008,1001.1483482940141,223.11871385990932,299.62869226328957,0.38259020568790025,0.26378339983579124,0.14587141393558967,0.055748122082382445,-0.02065016610300896,-0.02065016610300896,-0.02104456006848987,-0.016937927689179677,0.7733623764270182,0.6956457233279436
647.4336252539522,737.5788331172505,837.8593527863881,921.7872964225613,984.1499149613145,984.1499149613145,982.9824480811176,981.860327538056,232.70313188282083,372.09540891305653,0.342355395877165,0.25078846572957525,0.14892637502773065,0.06367476449266618,0.0003285958952369272,0.0003285958952369272,0.0015144754422753426,0.002654293473861813,0.7636267980595014,0.6220361001568822
516.0419391064455,664.1108451542476,820.3685160510674,935.0607168613393,1020.7767451792511,1020.7767451792511,1021.520532154042,1017.3932936018039,117.43526143378969,172.09833904247367,0.475819321831915,0.3254151517326054,0.16669306793940197,0.05019200272478286,-0.03687589321281792,-0.03687589321281792,-0.03763141080027155,-0.033439079636219615,0.8807126120683136,0.8251874174663217
661.2794399692579,771.6178570214043,885.8534165940391,979.9537353461741,1047.5690855280802,1047.5690855280802,1045.9650863591305,1046.0191635058707,278.830953958305,312.2506823847915,0.3518811823746999,0.24373869362318357,0.13177662233238008,0.039549065203683065,-0.02672062074822712,-0.02672062074822712,-0.025148543980045623,-0.025201544896583217,0.7267182717714732,0.6939636546399621
712.3676320537,808.6976934430309,907.9131359811936,993.9603550745537,1057.6451624809388,1057.6451624809388,1054.5289233165067,1055.5703372211717,167.8112522961099,214.1049211376665,0.3018097350453799,0.2073968110743456,0.11015593010730029,0.025821201809492877,-0.03659616607183769,-0.03659616607183769,-0.03354194554022216,-0.034562633479017224,0.835528486372672,0.7901561428524776
719.1994237366348,844.0229419207249,957.8561414932583,1051.0100613575235,1115.1483557869026,1115.1483557869026,1110.9716681878126,1114.1026230975838,127.11312458387482,321.1513944388047,0.29511390801647386,0.1727745970875516,0.06120687812613179,-0.030093115114843805,-0.09295494483089417,-0.09295494483089417,-0.08886138065106985,-0.09193002405884543,0.8754166498601735,0.6852400823892681
609.085340546874,748.5049286685633,885.6013739988963,988.4740150620091,1049.9894881728142,1049.9894881728142,1046.5618036028325,1048.5207728725893,64.39259467381216,181.1832259285885,0.4030365275434916,0.26639163410564903,0.13202364883718543,0.031198354019436048,-0.02909285312907195,-0.02909285312907195,-0.02573338550250792,-0.027653367843011756,0.9368889310610405,0.8224226385023652
741.4373035603735,841.4984079463366,943.8107689077443,1026.6451102936326,1092.8407138162574,1092.8407138162574,1092.2458773094124,1090.6113582456592,248.68052580586743,356.153883203013,0.3223593457766808,0.23090795546652154,0.13739901697085366,0.06169212035350502,0.0011922886585294945,0.0011922886585294945,0.0017359427176369957,0.003229820301599462,0.7727170815516363,0.6744912223070886
536.3868212762499,690.1750117452939,858.9033961662487,993.5987154419387,1091.5105395612625,1091.5105395612625,1090.8687321232007,1088.2462713239202,116.51906357580056,237.3994400066834,0.5097663487647713,0.3692107960554146,0.21500057186516475,0.09189505257648622,0.002408008650034432,0.002408008650034432,0.0029945920470728637,0.005391404350912898,0.8935067684188018,0.783027491244539
737.156960303855,846.0328560793006,953.640070144146,1042.230377212536,1107.6522365602757,1107.6522365602757,1105.6397040922284,1105.6317942607805,163.49190557642322,324.020647478287,0.32627138876496753,0.22676367194503122,0.12841547367136152,0.04744788092765462,-0.01234478307242215,-0.01234478307242215,-0.010505418082632278,-0.010498188849180412,0.8505756841164881,0.7038595677818215
763.0635532354262,863.1102358087295,960.5558675128356,1035.9302030103438,1093.446347929086,1093.446347929086,1091.9992597940318,1090.8974813544464,114.2619268699354,238.19697164386227,0.30259391732058993,0.21115570790451144,0.12209474307028378,0.053205959389034274,0.0006387660687348085,0.0006387660687348085,0.0019613401364922955,0.0029683165308881376,0.8955696907814739,0.7822985828691625
