MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN
92.64312760510569,38.622412494919224,24.294472437700215,18.208890521299683,12.521302390847257,11.593508551165309,12.425169081922906,8.970378629932718,42.3100394052677,124.5451477990308,0.9170554406598836,0.9654208674959854,0.9782488527445333,0.9836973509055151,0.9887895202156805,0.9896201857294671,0.9888755895783279,0.9919687069963217,0.9621192886633559,0.8884931600520474
58.28683745533681,23.6616551334874,14.62995444669788,11.511887118287683,12.099154029836221,12.007392239501062,10.11058894571674,9.972749652438106,30.181483456339155,69.10950648046344,0.9478150600801234,0.9788154220497544,0.9869016174635229,0.9896932624266572,0.9891674749618702,0.9892496304488487,0.9909478623352812,0.9910712715911678,0.9729781376100789,0.9381253881489311
127.498762940299,93.91258896594192,85.24038915457197,74.9929119230632,69.63081448436117,69.33511786087773,66.13637828540521,65.33882930338014,74.87728972109878,173.82580727153606,0.8858487512039669,0.9159188759097957,0.9236832056605098,0.9328579011321307,0.9376586545251692,0.9379233954376062,0.9407872672799115,0.9415013229317047,0.9329614191462543,0.8443715647475295
187.53487831152313,95.03516909576604,70.61707471678626,60.218196490178414,56.39227078425848,55.75672404892322,57.931007084840566,53.866318050921855,52.35763759007705,112.43598365100192,0.8320976607271366,0.9149138157763649,0.9367756433133514,0.9460858900033604,0.9495112894900684,0.950080302489361,0.948133639493876,0.9517728067962805,0.9531235474204875,0.8993346472751108
73.31656879899235,40.188885748068095,30.88968192776279,20.819965459527616,17.237304110796906,17.81491913722616,15.845305601134335,16.3069705305391,46.59520274724751,93.2667819900022,0.9231844757564431,0.9578931423268584,0.9676361407814487,0.978186423782446,0.981940063842231,0.9813348827516133,0.9833984940036197,0.9829147966053642,0.9511810906470867,0.9022821598114666
64.90271398294979,25.70322465084514,17.251830346439263,12.934992392340716,11.842560060675476,12.060710466020495,14.646497292481067,11.53782720333471,35.11104828691894,37.45521644073156,0.9319998728650483,0.9730701162281926,0.9819248443574073,0.9864476988219649,0.9875922663274022,0.9873637049254568,0.9846545141666636,0.9879115422369861,0.9632133141923905,0.9607572731009989
66.72866086399566,51.77393505468968,40.5146033258283,30.97632813314141,32.12385428907353,32.583245778848166,18.18226451895412,18.4773115045407,89.42148808221631,96.40393160940637,0.9300867846067451,0.9457552088357889,0.9575518802233415,0.9675453594778647,0.9663430688538615,0.96586175339273,0.9809500062013584,0.9806408784114798,0.9063109662904898,0.8989952930555265
54.13772913533594,32.29963105732089,19.900563682228604,15.79172573387965,12.87330584438022,13.188968880636276,14.009791846644063,12.641226580136365,32.280730596943265,37.30222915930603,0.9432786051910319,0.9661589033258786,0.9791497030339247,0.9834546309131817,0.9865123292949669,0.9861816015752778,0.9853216057042503,0.9867554842958212,0.9661787057906711,0.9609175615380848
42.124948806710975,36.35855771511397,24.05382846991763,19.16104912048396,18.82929483081382,19.247469006135777,18.74755923345919,18.49008047477801,33.47099236382858,63.64065345636339,0.9597264429780288,0.9652394011421803,0.9770033374538936,0.9816810791178537,0.9819982528042508,0.9815984573867603,0.9820763961215493,0.9823225586870464,0.9680000579767623,0.939156353693134
91.86970827369367,57.849409559730255,63.204698339787,59.01006646287913,13.600380287827543,13.936816416869434,15.923591885794544,13.39677447365523,43.99796972584156,55.58278595809956,0.9121679660258004,0.9446930723813723,0.9395731485793907,0.9435834263569607,0.9869973565177352,0.9866757067588384,0.9847762500851994,0.9871920138549988,0.9579357413409522,0.9468600778603933
68.14852021647421,60.15263129309919,45.64514371869881,38.734663808312895,38.88178291688818,40.71227375288893,43.05604740732059,34.28594078819043,23.118663882202178,124.5109972231137,0.9348466077075948,0.9424910772587504,0.9563609606562127,0.9629677249278354,0.9628270717050763,0.9610770309536883,0.9588362661672085,0.9672209265411585,0.9778974015516589,0.8809612619463006
133.5137875272703,54.83817935267155,30.800908742277024,20.558636016844233,17.397785601413688,18.88213414628098,20.85674759418876,20.769028285360932,43.025784373479866,69.02450148467155,0.8723541443368535,0.9475719590004806,0.9705527914051019,0.9803449161750335,0.9833668471933446,0.9819477357770555,0.9800599066035279,0.98014377064814,0.9588651991405074,0.9340091258220546
