MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
57.319159754669855,57.75988128960915,57.67233882422576,57.07329423034671,56.86973866850462,71.15532163168096,65.2877083840246,-0.042648275169970606,-0.05066509799503449,-0.049072681062776846,-0.038175926552920236,-0.03447320557158862,-0.2943311396394348,-0.18759794853512934
57.98811186885363,58.377302296283005,58.07158909836724,57.25662910621589,56.896365586056255,70.90007182080973,65.01922964070954,-0.05481666303556909,-0.06189612354421414,-0.05633513242243482,-0.04151082875528411,-0.03495755512899912,-0.2896880887611346,-0.18271426043091865
57.98811186885363,58.37733161880064,58.071629903050436,57.25669011881593,56.89646363939655,70.90007182080973,65.01922964070954,-0.05481666303556909,-0.061896656927336924,-0.056335874668705266,-0.04151193858806046,-0.03495933874108581,-0.2896880887611346,-0.18271426043091865
57.98811186885363,58.37733174114874,58.07163005601844,57.256690313489386,56.89646394261883,70.90007182080973,65.01922964070954,-0.05481666303556909,-0.06189665915287623,-0.056335877451227256,-0.04151194212921383,-0.03495934425676639,-0.2896880887611346,-0.18271426043091865
64.30831559727318,64.01874804377795,63.33088851821447,62.39758867587145,61.94685068606986,63.66806422448903,55.9957113093069,-0.08524379045583697,-0.08035715353447559,-0.06874908587027906,-0.0529990565135916,-0.04539256581310336,-0.0744391406964473,0.05503670207838962
65.22472843278099,64.9948073757899,64.02684193811234,62.719456540157445,61.94784563237805,63.05760168754286,55.99673182703896,-0.10070884081506382,-0.09682877651735722,-0.08049374315722391,-0.05843078175502314,-0.04540935616584019,-0.06413719651747662,0.05501948019158576
65.26107619766239,65.02794643376022,64.05149991223458,62.73265818965522,61.94782725900855,63.05760168754286,55.99673182703896,-0.10132223250116401,-0.09738801923036933,-0.08090986217780216,-0.05865356799982169,-0.04540904610352592,-0.06413719651747662,0.05501948019158576
65.26107619766239,65.02794644936048,64.05149993699925,62.7326582200296,61.94782757876651,63.05760168754286,55.99673182703896,-0.10132223250116401,-0.09738801949363363,-0.08090986259572186,-0.05865356851240855,-0.04540905149964525,-0.06413719651747662,0.05501948019158576
73.47432983209174,71.9160605631845,70.78488616327444,69.64989425001878,68.6994106757694,73.75096542014676,64.07590818174573,-0.1506258003750065,-0.12622292621700315,-0.10850846114825541,-0.09073421289592853,-0.07584940991966094,-0.15495798068404,-0.0034442410684545344
73.70304345667918,72.25407801669483,71.20128525252174,69.96630531171873,68.69742326451676,73.74463198204265,64.07590818174573,-0.1542075111296195,-0.13151636140552214,-0.1150293717361508,-0.09568928675571065,-0.07581828657810097,-0.1548587975093949,-0.0034442410684545344
73.70304345667918,72.25407514359351,71.20128055608814,69.96630267278857,68.69743252829942,73.74463198204265,64.07590818174573,-0.1542075111296195,-0.13151631641205963,-0.11502929818886298,-0.09568924542942536,-0.07581843165118096,-0.1548587975093949,-0.0034442410684545344
73.70304345667918,72.25407517179862,71.20128053922404,69.96630259273692,68.69743243756854,73.74463198204265,64.07590818174573,-0.1542075111296195,-0.1315163168537583,-0.11502929792476735,-0.09568924417579705,-0.07581843023031354,-0.1548587975093949,-0.0034442410684545344
