MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN
486.4965832164264,636.6021123573425,799.5963335081135,961.6439439107298,1118.3238020499264,1118.3238020499264,1116.4821423250446,1116.2873287071693,42.3100394052677,124.5451477990308,0.5644334797572736,0.43004210836296297,0.28411132862975486,0.13902806142556,-0.001249389549782265,-0.001249389549782265,0.00039947160466713427,0.000573890691175083,0.9621192886633559,0.8884931600520474
410.8831372949326,576.0148275017096,769.2411588698361,955.6079778407671,1132.083320199521,1132.083320199521,1133.0050359628442,1128.6811556238274,30.181483456339155,69.10950648046344,0.632131150531942,0.48428666782327656,0.31128869892317135,0.14443213789412435,-0.013568459502981689,-0.013568459502981689,-0.014393683238427712,-0.010522458695060743,0.9729781376100789,0.9381253881489311
487.4792325556476,634.9743338592257,799.1971260079501,961.1595165733528,1116.0670418572422,1116.0670418572422,1114.831199153573,1113.8513474997214,74.87728972109878,173.82580727153606,0.5635537014236344,0.43149947896043594,0.28446874413419965,0.13946177532393267,0.0007711162832717555,0.0007711162832717555,0.0018775818260425847,0.0027548553567227074,0.9329614191462543,0.8443715647475295
524.0997695791287,657.9528121053906,816.415072673767,972.9561079774306,1117.1971482982392,1117.1971482982392,1115.9008619581298,1114.9081691116328,52.35763759007705,112.43598365100192,0.5307668732504925,0.4109265578846414,0.2690532995582644,0.1289001384165802,-0.00024068225137474641,-0.00024068225137474641,0.0009198992406199702,0.0018086696528597512,0.9531235474204875,0.8993346472751108
378.3194774344865,518.3307371250668,674.9076647464269,824.0706912980891,957.8670086487499,957.8670086487499,955.9080050113239,955.8737222188753,46.59520274724751,93.2667819900022,0.6036256269663567,0.4569324784828379,0.2928830831455381,0.13660140943907573,-0.003580195176463352,-0.003580195176463352,-0.0015277001692777237,-0.0014917812669394959,0.9511810906470867,0.9022821598114666
327.0405269068712,466.12290596407945,629.5550668421142,797.9296177166256,964.8165542000602,964.8165542000602,964.9549968828563,961.8975286470796,35.11104828691894,37.45521644073156,0.6573518109922016,0.511631872984582,0.34040008565800295,0.163990038017083,-0.010861400414558409,-0.010861400414558409,-0.011006450127479805,-0.007803067464645208,0.9632133141923905,0.9607572731009989
457.25476911532945,587.177166642505,716.7481884190643,840.0987854578158,957.5837394769467,957.5837394769467,955.6326044129056,955.9148995348071,89.42148808221631,96.40393160940637,0.5209232322538349,0.3848004261744682,0.2490457648805463,0.11980839149411393,-0.0032834072840326467,-0.0032834072840326467,-0.0012391563695470786,-0.0015349237265778193,0.9063109662904898,0.8989952930555265
333.26804022499607,471.80048590325475,634.3953226302722,799.4891931329964,957.3865704860414,957.3865704860414,955.4965553631357,955.3206660765791,32.280730596943265,37.30222915930603,0.6508270962094216,0.5056833365676889,0.33532883379869094,0.1623560335189409,-0.0030768286122662136,-0.0030768286122662136,-0.0010966145232480518,-0.0009123311071388418,0.9661787057906711,0.9609175615380848
364.07936100347763,537.8087734165251,724.6923651456667,894.1522904852385,1046.8600758197476,1046.8600758197476,1045.2406231039226,1044.793204669588,33.47099236382858,63.64065345636339,0.6519219293731121,0.4858279258096998,0.3071578692000331,0.1451457087243635,-0.0008505684126784985,-0.0008505684126784985,0.000697709345341524,0.0011254637364633835,0.9680000579767623,0.939156353693134
359.8208298277223,511.5857965156545,690.7137443748198,878.4897807635513,1066.314302659646,1066.314302659646,1066.9206009281788,1063.0508679090747,43.99796972584156,55.58278595809956,0.6559932980749132,0.5108984026985595,0.33964312935837015,0.1601198510379337,-0.019449781851489822,-0.019449781851489822,-0.020029433307023004,-0.016329775080260678,0.9579357413409522,0.9468600778603933
426.91829151912157,574.9195007313622,733.2867964572142,891.2664729425078,1045.1406824228482,1045.1406824228482,1043.8905988550998,1042.9726711276367,23.118663882202178,124.5109972231137,0.5918447702783028,0.4503482152111481,0.29894116320271014,0.1479046945665885,0.0007932576328073537,0.0007932576328073537,0.0019884000193050033,0.0028659848169427793,0.9778974015516589,0.8809612619463006
431.1091967378896,576.60088412784,739.6407902557553,898.860952126538,1046.879457352101,1046.879457352101,1045.4671900790254,1044.7177789533903,43.025784373479866,69.02450148467155,0.5878380553722222,0.4487407286263083,0.29286642747455593,0.14064399279402073,-0.0008690981265540021,-0.0008690981265540021,0.00048109999032563966,0.0011975744919245912,0.9588651991405074,0.9340091258220546
