MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1977.1454036457833,1905.3166363019236,1780.0698660741423,2263.0032378114715,5479.681074784782,92.34205563528593,148.69795924704712,-0.7701631896082284,-0.7058539892466482,-0.5937189778986116,-1.0260953100117969,-3.906027503839911,0.9173249941876187,0.8668688436654077
1975.4821518672886,1893.0193470597474,1748.0799473781617,1459.276296774761,6324.594466680207,95.09892810451828,148.69202969554416,-0.7686740593359112,-0.6948440712566379,-0.5650780006544665,-0.3065084536803655,-4.662489108526352,0.9148567315325399,0.8668741524675738
1975.260283490306,1893.7060941346156,1748.4014944812707,1459.8498396452007,5633.647722797037,95.09892810451828,148.69202969554416,-0.768475417782716,-0.6954589245649789,-0.5653658858269981,-0.3070219538382408,-4.043875783605322,0.9148567315325399,0.8668741524675738
1975.249608029885,1893.1509793559248,1747.8574792996255,1458.90824575155,4767.996052180612,95.09892810451828,148.69202969554416,-0.7684658599085028,-0.694961923309819,-0.5648788221809149,-0.3061789329622715,-3.2688469367018644,0.9148567315325399,0.8668741524675738
1917.7233808843102,1822.262352109122,1647.3409482001389,1303.422187857138,8001.203184410937,58.155140213847524,67.17834469222284,-1.0092446942058642,-0.9092278891327916,-0.7259585468436556,-0.365626628619669,-7.383052115747539,0.9390694674319559,0.929615640095007
1929.8953255532479,1841.4882259984408,1682.8810890044915,1344.12747727422,3020.829523967319,52.577666406323985,67.17717279598396,-1.0219975320176204,-0.9293712974515509,-0.7631948031537532,-0.4082745347789356,-2.1649954073840014,0.9449131202582938,0.9296168679187502
1929.9273592989148,1841.2829951183257,1682.783391739491,1343.7069181589256,8923.287978826298,52.577666406323985,67.17717279598396,-1.022031094539806,-0.9291562721454671,-0.7630924433904538,-0.4078339049261488,-8.34914242848735,0.9449131202582938,0.9296168679187502
1929.9522782806341,1841.345680988206,1681.8219129922404,1343.9653610879616,7310.293492995848,52.577666406323985,67.17717279598396,-1.0220572027534849,-0.9292219496319674,-0.7620850790902836,-0.40810468176972114,-6.65916949248253,0.9449131202582938,0.9296168679187502
1851.5640925413777,1765.3439830304362,1624.9911347984992,1335.730702379898,2982.99155160073,37.94699928963264,67.38400496527949,-0.7701878381611182,-0.6877571030458671,-0.5535727634422429,-0.277025328983292,-1.8518890527485055,0.9637207715855965,0.9355775225083328
1854.3310250559712,1783.1113229931289,1661.3753082374888,1374.5492647401654,5389.6909206520495,37.97275475725709,67.38400496527949,-0.772833163972996,-0.7047435682971259,-0.5883578522127011,-0.3141378152654857,-4.15281396826529,0.9636961480709483,0.9355775225083328
1854.2640167599818,1783.103191635373,1661.323990270936,1374.7558074635076,4494.350462806881,37.97275475725709,67.38400496527949,-0.7727691006920681,-0.7047357943125983,-0.588308789671125,-0.31433528043474124,-3.296823729593223,0.9636961480709483,0.9355775225083328
1854.3160789031836,1783.0792804806604,1661.2694643205625,1374.5201626506675,5083.925512462757,37.97275475725709,67.38400496527949,-0.7728188747037243,-0.7047129340532969,-0.588256660136639,-0.31410999221301794,-3.8604869518323124,0.9636961480709483,0.9355775225083328
