MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,RBF,LAPL,RBF+LAPL,ExtraTrees,KNN
700.3466683477526,315.7095856492647,165.65606053197058,122.35992434776625,167.98879863449017,160.69907890386696,96.74080764438685,90.88936227776372,248.83129064600206,528.6746440572675,0.9026635728096648,0.9561216687596467,0.9769765891616957,0.9829940250941875,0.9766523777350808,0.9776655263739853,0.9865546521384515,0.9873679047912131,0.9654166287935916,0.9265231015947307
430.9527244869461,184.68243437882623,130.81692440690858,116.32505238967369,139.8625661373497,139.0545606589311,93.26498680976646,91.44212147084112,206.92065462077187,348.9857525427635,0.9401048075398689,0.9743322426739632,0.9818186440897381,0.9838327709631979,0.9805614517770194,0.9806737509710814,0.9870377328710176,0.9872910805449041,0.9712415034682932,0.9514968403105533
1162.6603472222182,585.0167042370715,435.1991200473274,382.5322896865033,406.96716805379634,405.1944036522101,357.3442074094502,354.38170702890966,468.69672340794773,750.1857454192947,0.838409734279921,0.9186925012844829,0.9395146298593503,0.9468344349365362,0.9434383971361225,0.9436847816209774,0.9503351554331563,0.9507468932419076,0.9348590254595265,0.8957367779581201
861.4745047873934,430.5231997611408,300.56711121341436,258.0801363854828,274.97617115738757,268.068794272804,242.5805480049388,226.50089320716611,203.76124133641525,506.11573224780955,0.880269509085561,0.9401645042644902,0.9582262184448531,0.9641311945356698,0.9617829294082568,0.9627429388115837,0.9662853770627919,0.9685201790818572,0.9716806088642572,0.9296584115434663
646.5081425561234,449.2390049673375,245.00830717030917,206.25713886403733,185.13436236219366,191.46689571959467,98.86955804694752,100.56937618310342,295.9355629230907,515.8258817652907,0.8982770600431768,0.9293157977131148,0.9614498817900895,0.9675470714577872,0.9708705731809413,0.9698741991709519,0.9844436574657771,0.9841762045339113,0.9534368811206412,0.918838879597822
304.3407004555912,172.07026627287428,105.36784211803335,89.35006275281361,120.56836383173035,125.21078329622105,76.98033357806062,80.23871475340377,193.874978246281,203.95846329483436,0.9521143992456768,0.9729261053152,0.9834212038926915,0.9859414747158365,0.981029522093478,0.980299074129476,0.9878877537111027,0.9873750732190282,0.9694953064422313,0.9679087498675621
1046.264695340521,370.88504540109005,257.0558261301155,197.71090974632543,217.6533086012635,220.38185444965845,87.44606619856854,96.95571205690959,302.7537649563561,402.43226768255437,0.8353785300177737,0.9416441731807831,0.9595543000222687,0.9688917529771275,0.9657539743355541,0.9653246592392146,0.9862410535059809,0.9847447859866979,0.9523640909879428,0.936680467410189
477.5805495496806,335.77725658437225,186.04624752843273,136.2721367440358,180.50444759580694,188.41685844077503,127.33230502639384,126.75722643574726,342.62226953338654,284.08994978467604,0.9248564799596913,0.947168105918428,0.9707270952664233,0.9785586577007448,0.971599053629655,0.9703540983996805,0.9799652694743294,0.9800557535395656,0.9460910973003103,0.955300694605289
463.7669143694456,195.3447183166401,135.11723378626502,103.43674812055023,164.29882913534945,169.3111073903068,87.62213411463445,81.03012307447747,196.29192087885116,275.6023059109624,0.9307559127457388,0.9708334805682126,0.9798259228160521,0.9845560711852533,0.9754688786372583,0.9747205056462682,0.9869173187822429,0.9879015584369114,0.9706920556954306,0.9588503846939549
442.2985989381994,194.05905540023244,123.78936404978242,111.95177115010735,134.3973188798937,140.03573993792895,81.88532694078206,81.8386208114735,283.08107342838093,321.9020730818318,0.9339613029123581,0.9710254402626302,0.9815172638240763,0.9832847105526555,0.9799334118348844,0.9790915507455703,0.9877738697008163,0.9877808432972349,0.9577337452475325,0.9519374613730003
607.4938211296634,236.62186578779827,192.0687145224453,179.6930041902324,230.85913133790893,242.34782741263476,164.0894125521372,143.0628267908362,231.72464758722435,444.70635710752407,0.9092963429400294,0.9646704742981642,0.9713226139788591,0.9731704059181404,0.9655308963651713,0.9638155427062808,0.9755001461979901,0.9786395826131434,0.9654016679083094,0.9336018054760423
1197.3522014462078,379.268524829114,269.64936977158044,204.85173025751766,164.21888729234854,179.26063540636875,83.04928678624718,82.98351847904983,337.8812163254726,359.4088776546593,0.8212257973949051,0.9433721940648374,0.9597392053853033,0.96941400810486,0.9754808145899546,0.9732349620148956,0.9876000812424278,0.9876099009735493,0.9495516482528139,0.9463373972718332
