Dataset,Car,Car,Car,Car,Dermatology,Dermatology,Dermatology,Dermatology,EEG Eyes,EEG Eyes,EEG Eyes,EEG Eyes,Haberman,Haberman,Haberman,Haberman,Ionosphere,Ionosphere,Ionosphere,Ionosphere,phishing,phishing,phishing,phishing,Diabetic Retinopathy,Diabetic Retinopathy,Diabetic Retinopathy,Diabetic Retinopathy,Tic-Tac-Toe,Tic-Tac-Toe,Tic-Tac-Toe,Tic-Tac-Toe
Method,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN,Unnamed: 0,Metric,ExtraTrees,KNN
0,0,0.9074475777295734,0.9031091829356472,0.7628344179320318,0,0.9727272727272728,0.9545454545454546,0.5393939393939394,0,0.7297748123436196,0.7297748123436196,0.7689741451209341,0,0.7061224489795919,0.7346938775510204,0.6530612244897959,0,0.879746835443038,0.8987341772151899,0.7974683544303798,0,0.749791492910759,0.7306088407005839,0.7706422018348624,0,0.9689335101344952,0.9619246069331312,0.9511271074067058,0,0.8500651890482399,0.8552803129074316,0.817470664928292
1,1,0.8893709327548807,0.8893709327548807,0.7613882863340564,1,0.9393939393939394,0.9454545454545454,0.509090909090909,1,0.7297748123436196,0.7197664720600501,0.7781484570475397,1,0.673469387755102,0.6816326530612244,0.6530612244897959,1,0.8860759493670886,0.8829113924050633,0.8449367088607594,1,0.7631359466221852,0.7172643869891576,0.7639699749791493,1,0.971017238113279,0.9657132032581928,0.9456336427353664,1,0.8383311603650587,0.8552803129074316,0.7992177314211213
2,2,0.9045553145336226,0.9081706435285612,0.7700650759219089,2,0.9363636363636364,0.9363636363636364,0.5303030303030303,2,0.7231025854879066,0.7339449541284404,0.7789824854045038,2,0.6612244897959184,0.6979591836734694,0.636734693877551,2,0.8417721518987342,0.9113924050632912,0.7151898734177216,2,0.7581317764804003,0.74395329441201,0.7781484570475397,2,0.9772684220496306,0.9717749573782912,0.941655616594052,2,0.8500651890482399,0.8461538461538461,0.7666232073011734
3,3,0.8915401301518439,0.8980477223427332,0.765003615328995,3,0.9181818181818182,0.9242424242424242,0.4636363636363636,3,0.7089241034195163,0.7097581317764804,0.786488740617181,3,0.746938775510204,0.7428571428571429,0.7387755102040816,3,0.879746835443038,0.8892405063291139,0.8575949367088608,3,0.7456213511259383,0.7297748123436196,0.7656380316930775,3,0.9763212729683652,0.9778367114983898,0.9424133358590642,3,0.8435462842242504,0.8213820078226858,0.8005215123859192
4,4,0.918293564714389,0.915401301518438,0.7606652205350687,4,0.9666666666666668,0.9575757575757576,0.5696969696969697,4,0.7030859049207673,0.6997497914929107,0.7522935779816514,4,0.6857142857142857,0.710204081632653,0.6653061224489796,4,0.8829113924050633,0.8987341772151899,0.7436708860759493,4,0.7231025854879066,0.7114261884904087,0.7581317764804003,4,0.9765107027846184,0.9630611858306496,0.9479068005304034,4,0.848761408083442,0.8696219035202086,0.7953063885267275
5,5,0.8843094721619668,0.8987707881417208,0.7801879971077368,5,0.9363636363636364,0.9333333333333332,0.4969696969696969,5,0.707256046705588,0.7030859049207673,0.7597998331943286,5,0.6857142857142857,0.6979591836734694,0.6489795918367347,5,0.8955696202531646,0.9018987341772152,0.8259493670886076,5,0.7456213511259383,0.7464553794829024,0.7673060884070059,5,0.9607880280356128,0.9619246069331312,0.9480962303466566,5,0.848761408083442,0.8735332464146024,0.7796610169491526
6,6,0.8785249457700651,0.8821402747650036,0.7939262472885033,6,0.9272727272727272,0.9363636363636364,0.4606060606060606,6,0.7422852376980817,0.7089241034195163,0.7839866555462885,6,0.6857142857142857,0.7020408163265306,0.6857142857142857,6,0.870253164556962,0.8734177215189873,0.7215189873417721,6,0.7247706422018348,0.7231025854879066,0.737281067556297,6,0.9744269748058344,0.9698806592157606,0.951695396855465,6,0.8318122555410691,0.8578878748370273,0.803129074315515
7,7,0.8792480115690527,0.8756326825741142,0.7700650759219089,7,0.9545454545454546,0.9515151515151516,0.5393939393939394,7,0.737281067556297,0.7281067556296914,0.7781484570475397,7,0.6571428571428571,0.673469387755102,0.6489795918367347,7,0.8860759493670886,0.9177215189873418,0.8164556962025317,7,0.7572977481234362,0.7531276063386155,0.7831526271893244,7,0.9706383784807728,0.9666603523394582,0.9410873271452926,7,0.8370273794002607,0.8279009126466753,0.8161668839634941
8,8,0.8929862617498192,0.8980477223427332,0.7780187997107737,8,0.8939393939393939,0.8909090909090909,0.5696969696969697,8,0.7322768974145121,0.7197664720600501,0.7789824854045038,8,0.673469387755102,0.7224489795918367,0.6204081632653061,8,0.8955696202531646,0.8987341772151899,0.8354430379746836,8,0.7489574645537949,0.7456213511259383,0.7798165137614679,8,0.9801098692934268,0.9742375449895814,0.9520742564879712,8,0.8018252933507171,0.7979139504563233,0.7966101694915254
9,9,0.8872017353579176,0.8850325379609545,0.754880694143167,9,0.9606060606060606,0.9545454545454546,0.5575757575757576,9,0.7197664720600501,0.7055879899916597,0.7456213511259383,9,0.6408163265306123,0.6816326530612244,0.6163265306122448,9,0.8987341772151899,0.8955696202531646,0.8575949367088608,9,0.7431192660550459,0.7206005004170142,0.7781484570475397,9,0.9780261413146428,0.9736692555408222,0.944118204205342,9,0.8539765319426337,0.8617992177314211,0.8213820078226858
