Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.9857142857142858,0.9714285714285714,0.9428571428571428,0.9841485507246376,0.9949048913043479,0.9266304347826088,0.9791666666666666,0.9574468085106383,0.9130434782608695
1,0.9428571428571428,0.95,0.9428571428571428,0.9365942028985507,0.9842617753623188,0.9316123188405797,0.9166666666666666,0.9278350515463918,0.9148936170212766
2,0.9785714285714285,0.9714285714285714,0.9642857142857143,0.983695652173913,0.993546195652174,0.9628623188405797,0.9696969696969697,0.96,0.9484536082474226
3,0.9571428571428572,0.9785714285714285,0.9642857142857143,0.9529042386185244,0.9965238842789863,0.9536891679748822,0.9387755102040817,0.9690721649484536,0.9473684210526315
4,0.9712230215827338,0.9568345323741008,0.9496402877697842,0.9681776556776557,0.9946199633699634,0.9418498168498167,0.9583333333333334,0.9375,0.9263157894736842
5,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.9524456521739131,0.993546195652174,0.9732789855072462,0.9375,0.9795918367346939,0.9591836734693877
6,0.9642857142857143,0.9785714285714285,0.9642857142857143,0.9528985507246376,0.9990942028985508,0.9528985507246376,0.946236559139785,0.968421052631579,0.946236559139785
7,0.9785714285714285,0.9642857142857143,0.9571428571428572,0.9787137681159419,0.9923007246376812,0.9524456521739131,0.9690721649484536,0.9484536082474226,0.9375
8,0.9642857142857143,0.9785714285714285,0.9642857142857143,0.9583987441130298,0.9958510876878224,0.9583987441130298,0.9484536082474226,0.9690721649484536,0.9484536082474226
9,0.9424460431654677,0.935251798561151,0.920863309352518,0.9412774725274725,0.9884386446886446,0.9100274725274725,0.9183673469387755,0.9072164948453608,0.8842105263157894
