Metric,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1
Model,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN
0,0.7532467532467533,0.7402597402597403,0.7337662337662337,0.7077922077922078,0.7248148148148149,0.8292592592592593,0.8154629629629631,0.677037037037037,0.6415094339622641,0.5555555555555556,0.5773195876288659,0.5794392523364486
1,0.7142857142857143,0.7402597402597403,0.7337662337662337,0.7142857142857143,0.6607407407407406,0.822037037037037,0.8027777777777777,0.6735185185185186,0.5416666666666666,0.5652173913043478,0.5494505494505495,0.5686274509803921
2,0.7337662337662337,0.7532467532467533,0.7597402597402597,0.6948051948051948,0.7098148148148149,0.8044444444444444,0.8092592592592592,0.6712962962962963,0.6238532110091743,0.5777777777777777,0.6105263157894737,0.5765765765765766
3,0.6797385620915033,0.7254901960784313,0.7058823529411765,0.7058823529411765,0.6441509433962264,0.7898113207547169,0.7223584905660377,0.6641509433962264,0.5333333333333333,0.5434782608695652,0.4943820224719101,0.5544554455445545
4,0.673202614379085,0.7516339869281046,0.7450980392156863,0.6993464052287581,0.6302830188679245,0.7781132075471698,0.7705660377358491,0.6591509433962264,0.5098039215686274,0.6041666666666666,0.5979381443298969,0.5490196078431373
5,0.6623376623376623,0.7207792207792207,0.7012987012987013,0.6883116883116883,0.6292592592592592,0.7770370370370371,0.7195370370370371,0.6322222222222222,0.5185185185185185,0.5057471264367817,0.5,0.5
6,0.7272727272727273,0.7272727272727273,0.7077922077922078,0.7272727272727273,0.692037037037037,0.7972222222222223,0.787962962962963,0.7005555555555556,0.5961538461538461,0.5531914893617021,0.5544554455445545,0.6111111111111112
7,0.7077922077922078,0.7922077922077922,0.7402597402597403,0.7662337662337663,0.66,0.8512962962962963,0.7942592592592593,0.7177777777777777,0.5454545454545454,0.627906976744186,0.5348837209302325,0.625
8,0.7320261437908496,0.7058823529411765,0.7124183006535948,0.6209150326797386,0.7018867924528301,0.7718867924528303,0.7733962264150943,0.5858490566037736,0.6095238095238096,0.5714285714285714,0.5416666666666666,0.46296296296296297
9,0.6797385620915033,0.7647058823529411,0.7450980392156863,0.6797385620915033,0.6441509433962264,0.840754716981132,0.780566037735849,0.6485849056603774,0.5333333333333333,0.6,0.5714285714285714,0.5420560747663551
