,Seed,Metric,ExtraTrees,KNN
0,2925597112,0.9323843416370107,0.9395017793594306,0.8149466192170819
1,3800057612,0.9074733096085409,0.8932384341637011,0.797153024911032
2,247928316,0.8861209964412812,0.900355871886121,0.8291814946619217
3,956975116,0.9181494661921709,0.9145907473309609,0.8220640569395018
4,1659508116,0.8718861209964412,0.8718861209964412,0.8149466192170819
5,2399321916,0.9145907473309609,0.9181494661921709,0.8398576512455516
6,3097212416,0.9145907473309609,0.9323843416370107,0.8505338078291815
7,3795683616,0.9145907473309609,0.9288256227758007,0.8683274021352313
8,188252520,0.8790035587188612,0.8790035587188612,0.8291814946619217
9,865974220,0.8790035587188612,0.9110320284697508,0.8185053380782918
