,Seed,Metric,KernelMix,ExtraTrees,KNN
0,3806170572,0.93625,0.9775,0.9075,0.97
1,803015292,0.92875,0.96875,0.92,0.97375
2,2136725008,0.95375,0.98125,0.9275,0.9825
3,4102851124,0.96,0.97375,0.94875,0.97625
4,3584545840,0.9225,0.97375,0.885,0.9775
5,1378175160,0.945,0.97375,0.93125,0.98
6,3757915676,0.93375,0.97625,0.91375,0.9725
7,1116479196,0.96625,0.98625,0.94625,0.98375
8,136849216,0.9325,0.985,0.9275,0.98375
9,2733068432,0.9575,0.98,0.9125,0.96625
10,495513052,0.92375,0.985,0.91875,0.9825
11,2200952368,0.92875,0.9825,0.9175,0.9625
12,2093856084,0.96625,0.97625,0.91125,0.97875
13,3132643800,0.9675,0.98125,0.945,0.97875
14,3280667216,0.95875,0.9775,0.9425,0.97625
15,2538128032,0.93,0.97625,0.925,0.97875
16,3945487348,0.935,0.97,0.91625,0.97375
17,8801768,0.93125,0.97875,0.915,0.97375
18,3580510880,0.9475,0.9825,0.90375,0.97375
19,3473759596,0.93625,0.98,0.9175,0.97625
