Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1
Metric,KernelMix,KernelRegression,ExtraTrees,KNN,Metric,KernelMix,KernelRegression,ExtraTrees,KNN,Metric,KernelMix,KernelRegression,ExtraTrees,KNN
0.9014084507042254,0.8732394366197183,0.8732394366197183,0.9295774647887324,0.8732394366197183,0.8735042735042735,0.9316239316239316,0.9222222222222222,0.9931623931623932,0.8269230769230769,0.9263157894736842,0.9090909090909091,0.9090909090909091,0.946236559139785,0.9090909090909091
0.9142857142857143,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.8714285714285714,0.8977777777777778,0.9653333333333334,0.9582222222222222,0.976,0.8288888888888888,0.9347826086956522,0.9166666666666666,0.9166666666666666,0.9333333333333333,0.9072164948453608
0.9,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.8714285714285714,0.8688888888888889,0.9688888888888889,0.9573333333333333,0.98,0.8200000000000001,0.9263157894736842,0.9183673469387755,0.9183673469387755,0.9361702127659575,0.9090909090909091
0.9142857142857143,0.9142857142857143,0.8857142857142857,0.9714285714285714,0.8714285714285714,0.8977777777777778,0.9875555555555556,0.9831111111111112,0.9951111111111111,0.8377777777777778,0.9347826086956522,0.9375,0.9183673469387755,0.9782608695652174,0.9052631578947369
0.9428571428571428,0.8428571428571429,0.8428571428571429,0.9571428571428572,0.8,0.9288888888888889,0.8328888888888889,0.808,0.9862222222222222,0.7466666666666668,0.9565217391304348,0.8888888888888888,0.8888888888888888,0.967741935483871,0.8571428571428571
0.9154929577464789,0.8873239436619719,0.8873239436619719,0.9436619718309859,0.8591549295774648,0.8927350427350428,0.9888888888888888,0.9880341880341881,0.9803418803418803,0.8320512820512821,0.9361702127659575,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.8936170212765957
0.9428571428571428,0.9142857142857143,0.9,0.9571428571428572,0.9,0.9288888888888889,0.9191111111111111,0.9084444444444445,0.9968888888888888,0.86,0.9565217391304348,0.9375,0.9278350515463918,0.9662921348314607,0.9278350515463918
0.9142857142857143,0.8857142857142857,0.8714285714285714,0.9,0.9,0.888888888888889,0.9573333333333334,0.9493333333333334,0.9857777777777778,0.86,0.9361702127659575,0.9166666666666666,0.9072164948453608,0.9230769230769231,0.9278350515463918
0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9428571428571428,0.9142857142857143,0.9088888888888889,0.9306666666666668,0.9173333333333333,0.9715555555555556,0.88,0.946236559139785,0.9473684210526315,0.9473684210526315,0.9574468085106383,0.9375
0.9,0.8714285714285714,0.8714285714285714,0.9285714285714286,0.8428571428571429,0.8688888888888889,0.904888888888889,0.8808888888888888,0.9817777777777779,0.7977777777777779,0.9263157894736842,0.9072164948453608,0.9072164948453608,0.946236559139785,0.8865979381443299
