Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1
Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN
0.9739583333333334,0.96875,0.9739583333333334,0.6770833333333334,0.9657287157287158,0.9986772486772487,0.9987373737373737,0.5303030303030303,0.9803921568627451,0.9767441860465116,0.9799196787148594,0.802547770700637
0.9322916666666666,0.9583333333333334,0.96875,0.671875,0.9202985074626866,0.9953432835820896,0.991641791044776,0.5298507462686567,0.9486166007905138,0.9689922480620154,0.9761904761904762,0.7987220447284346
0.9166666666666666,0.9166666666666666,0.9583333333333334,0.6666666666666666,0.9048358208955224,0.9844776119402985,0.9831641791044776,0.5223880597014925,0.9365079365079365,0.9393939393939394,0.9682539682539683,0.7961783439490446
0.9633507853403142,0.9685863874345549,0.9842931937172775,0.680628272251309,0.9576969696969697,0.998060606060606,0.9990909090909091,0.5378787878787878,0.9721115537848606,0.9765625,0.9878542510121457,0.8038585209003215
0.93717277486911,0.9214659685863874,0.9633507853403142,0.675392670157068,0.9269696969696969,0.9962424242424242,0.9917575757575757,0.5303030303030303,0.9523809523809523,0.9429657794676806,0.9723320158102767,0.8012820512820513
0.9270833333333334,0.9479166666666666,0.9739583333333334,0.6875,0.9083694083694085,0.9953102453102454,0.9968133718133717,0.5454545454545454,0.9457364341085271,0.9618320610687023,0.980544747081712,0.8076923076923077
0.9583333333333334,0.9375,0.9479166666666666,0.6666666666666666,0.9541492537313433,0.999044776119403,0.9925970149253731,0.5223880597014925,0.968,0.9541984732824428,0.9596774193548387,0.7961783439490446
0.9427083333333334,0.9427083333333334,0.984375,0.6770833333333334,0.9248358208955224,0.9923582089552239,0.9965373134328359,0.5373134328358209,0.9571984435797666,0.9578544061302682,0.9881422924901185,0.8012820512820513
0.9895287958115183,0.9581151832460733,0.9842931937172775,0.6701570680628273,0.9848484848484849,0.9998787878787879,0.9978181818181818,0.5227272727272727,0.9920634920634921,0.9689922480620154,0.9880478087649402,0.7987220447284346
0.9424083769633508,0.9109947643979057,0.9267015706806283,0.6701570680628273,0.9345454545454545,0.9899393939393939,0.9836363636363636,0.5227272727272727,0.9561752988047809,0.9358490566037736,0.943089430894309,0.7987220447284346
