Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.9785714285714285,0.9857142857142858,0.9428571428571428,0.9737318840579711,0.9973958333333333,0.9266304347826088,0.968421052631579,0.9791666666666666,0.9130434782608695
1,0.95,0.95,0.9428571428571428,0.9420289855072463,0.9890172101449276,0.9316123188405797,0.9263157894736842,0.9278350515463918,0.9148936170212766
2,0.9642857142857143,0.9714285714285714,0.9642857142857143,0.9678442028985507,0.9959239130434783,0.9628623188405797,0.9494949494949495,0.96,0.9484536082474226
3,0.9642857142857143,0.9714285714285714,0.9642857142857143,0.9583987441130298,0.9952904238618525,0.9536891679748822,0.9484536082474226,0.9591836734693877,0.9473684210526315
4,0.9784172661870504,0.9712230215827338,0.9496402877697842,0.9785943223443222,0.9954212454212454,0.9418498168498167,0.9690721649484536,0.9583333333333334,0.9263157894736842
5,0.9642857142857143,0.9785714285714285,0.9714285714285714,0.9628623188405797,0.9953577898550725,0.9732789855072462,0.9484536082474226,0.9690721649484536,0.9591836734693877
6,0.9714285714285714,0.9857142857142858,0.9642857142857143,0.9633152173913043,0.9992074275362319,0.9528985507246376,0.9574468085106383,0.9791666666666666,0.946236559139785
7,0.9714285714285714,0.9642857142857143,0.9571428571428572,0.9732789855072462,0.9909420289855072,0.9524456521739131,0.9591836734693877,0.9484536082474226,0.9375
8,0.9785714285714285,0.9785714285714285,0.9642857142857143,0.9740973312401884,0.9958510876878224,0.9583987441130298,0.9690721649484536,0.9690721649484536,0.9484536082474226
9,0.9424460431654677,0.9496402877697842,0.920863309352518,0.9412774725274725,0.9863782051282051,0.9100274725274725,0.9183673469387755,0.9292929292929293,0.8842105263157894
