Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1,F1,F1,F1
Metric,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
0.9004524886877828,0.9230769230769231,0.9230769230769231,0.918552036199095,0.9095022624434389,0.8959276018099548,0.9276018099547512,0.8868778280542986,0.9022731043636967,0.9831591173054588,0.9868093578894973,0.9854819976771197,0.9806703169072507,0.9670648747303798,0.9761489961838394,0.8859299817487971,0.9083333333333333,0.9276595744680851,0.9282700421940928,0.925,0.9173553719008265,0.9053497942386831,0.9322033898305084,0.8979591836734694
0.9230769230769231,0.9230769230769231,0.9321266968325792,0.9140271493212669,0.8959276018099548,0.8642533936651584,0.9457013574660633,0.8642533936651584,0.9246723079475694,0.9732039157126265,0.9812510370001658,0.9770200763232123,0.9669819147171063,0.952878712460594,0.9706736353077818,0.8666417786626847,0.9294605809128631,0.9306122448979591,0.9392712550607287,0.9230769230769231,0.9068825910931174,0.8760330578512396,0.9504132231404959,0.8739495798319328
0.9592760180995475,0.9457013574660633,0.9638009049773756,0.9547511312217195,0.9502262443438914,0.9411764705882353,0.9547511312217195,0.9276018099547512,0.9592666334826614,0.993943919031027,0.9953542392566783,0.9926165588186494,0.9869752779160444,0.9756927161108345,0.9929898788783806,0.9308113489298158,0.963265306122449,0.9516129032258065,0.967479674796748,0.9590163934426229,0.9547325102880658,0.9465020576131687,0.9586776859504132,0.9327731092436975
0.9140271493212669,0.9049773755656109,0.9004524886877828,0.8823529411764706,0.8642533936651584,0.8506787330316742,0.9049773755656109,0.8461538461538461,0.9082462253193961,0.9651567944250872,0.976024556163929,0.9737016757922682,0.9610087937614071,0.9414302306288369,0.9496017919362867,0.8389746142359382,0.9254901960784314,0.9176470588235294,0.9133858267716536,0.8992248062015504,0.8837209302325582,0.8745247148288974,0.9156626506024096,0.8671875
0.9140271493212669,0.9230769230769231,0.9140271493212669,0.918552036199095,0.9230769230769231,0.9049773755656109,0.9321266968325792,0.8823529411764706,0.9123942259830761,0.9756927161108346,0.9751119960179193,0.9722083955533433,0.9654056744649079,0.9561971129915381,0.9801725568276091,0.8808279409324705,0.9230769230769231,0.9317269076305221,0.9230769230769231,0.9274193548387096,0.9322709163346613,0.9163346613545816,0.9392712550607287,0.8943089430894309
0.918552036199095,0.9366515837104072,0.9321266968325792,0.9140271493212669,0.9049773755656109,0.9049773755656109,0.9366515837104072,0.9049773755656109,0.9174962667994027,0.9796747967479675,0.9786792765886843,0.9739505558320889,0.9620043139206902,0.9469055915048946,0.9721254355400697,0.9032271445163431,0.926829268292683,0.9435483870967742,0.9387755102040817,0.9224489795918367,0.9149797570850202,0.9156626506024096,0.9416666666666667,0.9149797570850202
0.8959276018099548,0.9140271493212669,0.9095022624434389,0.9049773755656109,0.8778280542986425,0.8552036199095022,0.9049773755656109,0.8552036199095022,0.8950970632155301,0.9644931143188982,0.9602621536419447,0.9518002322880371,0.9430894308943089,0.9278247884519661,0.9593495934959351,0.8522896963663514,0.9061224489795918,0.9236947791164659,0.9206349206349206,0.9163346613545816,0.8932806324110671,0.873015873015873,0.9135802469135802,0.8709677419354839
0.9230769230769231,0.9321266968325792,0.9276018099547512,0.9095022624434389,0.8823529411764706,0.8733031674208145,0.9321266968325792,0.8552036199095022,0.9215613074498092,0.9746971959515514,0.9796747967479675,0.9789281566285051,0.9700514352082297,0.952463912394226,0.9780155964824953,0.8533266965322714,0.9311740890688259,0.9397590361445783,0.9354838709677419,0.9193548387096774,0.896,0.888,0.9392712550607287,0.8699186991869918
0.9049773755656109,0.9049773755656109,0.9230769230769231,0.9140271493212669,0.9095022624434389,0.8959276018099548,0.9049773755656109,0.8778280542986425,0.9032271445163431,0.9748631159780986,0.9798407167745147,0.978098556495769,0.9730379956860793,0.9653227144516343,0.9771859963497596,0.876762900282064,0.9149797570850202,0.9163346613545816,0.9317269076305221,0.9230769230769231,0.9193548387096774,0.9076305220883534,0.9142857142857143,0.889795918367347
0.9321266968325792,0.9321266968325792,0.9366515837104072,0.9095022624434389,0.9095022624434389,0.8914027149321267,0.9276018099547512,0.8778280542986425,0.9276173884187822,0.9707565953210552,0.9814999170399867,0.9802555168408826,0.9729550356728056,0.9605939936950391,0.9644101543056247,0.872614899618384,0.9407114624505929,0.9411764705882353,0.9448818897637795,0.9212598425196851,0.9206349206349206,0.90625,0.9354838709677419,0.8932806324110671
