Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.9642857142857143,0.9714285714285714,0.9785714285714285,0.9938858695652173,0.9949048913043479,0.9918478260869565,0.946236559139785,0.9574468085106383,0.968421052631579
1,0.95,0.95,0.9571428571428572,0.9739583333333333,0.9842617753623188,0.9790534420289855,0.9278350515463918,0.9278350515463918,0.9387755102040817
2,0.9642857142857143,0.9714285714285714,0.9785714285714285,0.9870923913043478,0.993546195652174,0.9967164855072465,0.9494949494949495,0.96,0.9696969696969697
3,0.9571428571428572,0.9785714285714285,0.9642857142857143,0.9775734469612021,0.9965238842789863,0.9873289975330791,0.9375,0.9690721649484536,0.9484536082474226
4,0.9712230215827338,0.9568345323741008,0.9568345323741008,0.9820283882783882,0.9946199633699634,0.9954212454212454,0.9583333333333334,0.9375,0.9361702127659575
5,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9774682971014492,0.993546195652174,0.9866394927536232,0.9591836734693877,0.9795918367346939,0.9795918367346939
6,0.9714285714285714,0.9785714285714285,0.9857142857142858,0.9838088768115941,0.9990942028985508,0.9933197463768115,0.9574468085106383,0.968421052631579,0.9791666666666666
7,0.9642857142857143,0.9642857142857143,0.9571428571428572,0.9772418478260868,0.9923007246376812,0.980185688405797,0.9473684210526315,0.9484536082474226,0.9375
8,0.9714285714285714,0.9785714285714285,0.9714285714285714,0.9732002691186363,0.9958510876878224,0.9862076698811393,0.9583333333333334,0.9690721649484536,0.9591836734693877
9,0.9424460431654677,0.935251798561151,0.9568345323741008,0.983974358974359,0.9884386446886446,0.9886675824175825,0.9183673469387755,0.9072164948453608,0.94
