Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1,F1,F1,F1,F1
Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
0.7262569832402235,0.7220670391061452,0.7304469273743017,0.729050279329609,0.723463687150838,0.7136871508379888,0.7192737430167597,0.7192737430167597,0.6997206703910615,0.6803090128755365,0.6678197424892705,0.7899957081545064,0.7872274678111588,0.7745150214592275,0.7611845493562233,0.7483776824034335,0.7593261802575106,0.6534334763948498,0.5739130434782609,0.5507900677200903,0.5012919896640827,0.5025641025641026,0.5,0.4836272040302267,0.513317191283293,0.4859335038363171,0.5376344086021505
0.7053072625698324,0.7122905027932961,0.7304469273743017,0.7248603351955307,0.7150837988826816,0.7094972067039106,0.6997206703910615,0.7360335195530726,0.6536312849162011,0.664214592274678,0.6751416309012876,0.7735536480686694,0.7599055793991416,0.7409442060085837,0.723793991416309,0.7053991416309013,0.7640214592274678,0.617098712446352,0.5557894736842105,0.5726141078838174,0.5063938618925832,0.5386416861826698,0.5321100917431193,0.5398230088495575,0.5336225596529284,0.5809312638580931,0.5
0.696927374301676,0.7011173184357542,0.7094972067039106,0.7094972067039106,0.7178770949720671,0.7164804469273743,0.702513966480447,0.7011173184357542,0.659217877094972,0.6531416309012876,0.6489442060085837,0.7549098712446352,0.7479227467811158,0.7375021459227467,0.7246437768240342,0.7093991416309012,0.7287339055793991,0.6399313304721029,0.5392781316348195,0.5265486725663717,0.48514851485148514,0.5162790697674419,0.536697247706422,0.5538461538461539,0.5399568034557235,0.4855769230769231,0.5413533834586466
0.700139470013947,0.6931659693165969,0.697350069735007,0.7154811715481172,0.7196652719665272,0.7210599721059973,0.7196652719665272,0.708507670850767,0.6903765690376569,0.6406295503211992,0.6389935760171306,0.7916059957173448,0.7795460385438971,0.7709464668094219,0.7638286937901497,0.7504839400428266,0.7502012847965739,0.6470749464668094,0.5080091533180778,0.5111111111111111,0.37822349570200575,0.48223350253807107,0.5109489051094891,0.5215311004784688,0.5314685314685315,0.45144356955380577,0.5316455696202531
0.6875871687587168,0.6875871687587168,0.697350069735007,0.705718270571827,0.694560669456067,0.700139470013947,0.6959553695955369,0.697350069735007,0.6694560669456067,0.6625910064239829,0.6653790149892934,0.7606381156316917,0.743948608137045,0.7255674518201285,0.7107237687366167,0.6975246252676659,0.7327537473233404,0.6421670235546039,0.5642023346303502,0.5692307692307692,0.4894117647058824,0.546236559139785,0.5446985446985447,0.5435244161358811,0.540084388185654,0.5392781316348195,0.5380116959064327
0.7140864714086471,0.7224546722454672,0.7294281729428173,0.7294281729428173,0.7252440725244073,0.7112970711297071,0.705718270571827,0.7336122733612274,0.6875871687587168,0.6708522483940044,0.6837815845824412,0.7849807280513919,0.788847965738758,0.7772248394004283,0.757370449678801,0.7357344753747324,0.7762740899357601,0.6291349036402569,0.5628997867803838,0.5828092243186582,0.49740932642487046,0.5336538461538461,0.5135802469135803,0.5035971223021583,0.491566265060241,0.5727069351230425,0.49321266968325794
0.6834030683403068,0.7196652719665272,0.7099023709902371,0.7168758716875872,0.7252440725244073,0.7154811715481172,0.7140864714086471,0.7280334728033473,0.700139470013947,0.645438972162741,0.6797815845824412,0.7714346895074946,0.7745267665952891,0.76786295503212,0.76010278372591,0.7512633832976446,0.7684967880085652,0.658286937901499,0.5338809034907598,0.5768421052631579,0.45549738219895286,0.513189448441247,0.5491990846681922,0.5384615384615384,0.5393258426966292,0.5278450363196125,0.5473684210526316
0.691771269177127,0.705718270571827,0.7210599721059973,0.7280334728033473,0.7308228730822873,0.7238493723849372,0.7168758716875872,0.7252440725244073,0.6750348675034867,0.6342055674518201,0.6449122055674518,0.7696916488222698,0.7676231263383299,0.7558543897216273,0.732728051391863,0.7064496788008565,0.7572077087794433,0.6204282655246253,0.5011286681715575,0.5127020785219399,0.45054945054945056,0.4772117962466488,0.48533333333333334,0.484375,0.4781491002570694,0.47745358090185674,0.4856512141280353
0.7112970711297071,0.701534170153417,0.7168758716875872,0.7266387726638772,0.708507670850767,0.6959553695955369,0.6820083682008368,0.7112970711297071,0.6457461645746164,0.6696402569593148,0.6537815845824411,0.78203426124197,0.7634346895074947,0.7385524625267667,0.7124282655246252,0.6847537473233405,0.7391948608137046,0.5895802997858672,0.5623678646934461,0.5367965367965368,0.45866666666666667,0.507537688442211,0.4864864864864865,0.46568627450980393,0.4519230769230769,0.4450402144772118,0.44298245614035087
0.6485355648535565,0.6638772663877266,0.6806136680613668,0.6861924686192469,0.6694560669456067,0.6722454672245467,0.6624825662482566,0.6847977684797768,0.6164574616457462,0.639117773019272,0.6490364025695932,0.7310877944325481,0.6947152034261243,0.6626295503211992,0.6402569593147752,0.6202398286937901,0.7244068522483941,0.592188436830835,0.5467625899280576,0.5545286506469501,0.49448123620309054,0.5341614906832298,0.5173116089613035,0.5213849287169042,0.508130081300813,0.5129310344827587,0.4821092278719397
0.6847977684797768,0.6820083682008368,0.708507670850767,0.7126917712691772,0.7238493723849372,0.7126917712691772,0.7182705718270572,0.700139470013947,0.6889818688981869,0.630710920770878,0.6276402569593148,0.7747194860813704,0.7810963597430407,0.7787751605995717,0.7707152034261242,0.757661670235546,0.7526937901498929,0.6469336188436831,0.5,0.49557522123893805,0.4305177111716621,0.485,0.5263157894736842,0.5118483412322274,0.5302325581395348,0.44155844155844154,0.5324947589098532
0.6401673640167364,0.6457461645746164,0.6471408647140865,0.6638772663877266,0.6750348675034867,0.6764295676429568,0.6764295676429568,0.6541143654114365,0.6541143654114365,0.5918029978586723,0.6053790149892934,0.7179357601713062,0.725593147751606,0.7231605995717345,0.7105952890792291,0.6891905781584583,0.6841070663811564,0.6071563169164882,0.45569620253164556,0.4816326530612245,0.40749414519906324,0.4459770114942529,0.45433255269320844,0.46296296296296297,0.46543778801843316,0.44144144144144143,0.4767932489451477
0.7154811715481172,0.7168758716875872,0.704323570432357,0.7252440725244073,0.7238493723849372,0.7126917712691772,0.6959553695955369,0.7252440725244073,0.6792189679218968,0.6393961456102784,0.6367494646680942,0.7785182012847965,0.7707152034261242,0.7549379014989294,0.736762312633833,0.7184068522483941,0.7436745182012848,0.6050535331905781,0.48743718592964824,0.4781491002570694,0.3575757575757576,0.4289855072463768,0.43103448275862066,0.4114285714285714,0.4010989010989011,0.4481792717086835,0.43902439024390244
0.7099023709902371,0.708507670850767,0.7071129707112971,0.7419804741980475,0.7405857740585774,0.7252440725244073,0.7112970711297071,0.702928870292887,0.6959553695955369,0.6481541644580475,0.6516765555802542,0.7609134278337294,0.7799531487782775,0.7745071217276815,0.7664876972795513,0.7553220594018776,0.7265273669271413,0.6797017936836345,0.5162790697674419,0.5260770975056689,0.38953488372093026,0.5454545454545454,0.5654205607476636,0.567032967032967,0.5784114052953157,0.45524296675191817,0.5902255639097744
0.6569037656903766,0.6736401673640168,0.6931659693165969,0.6847977684797768,0.6861924686192469,0.6834030683403068,0.6778242677824268,0.704323570432357,0.6443514644351465,0.6184104782586393,0.6294478737410871,0.7385949763179044,0.7333327633671323,0.7186276353812219,0.700254774891849,0.6821213002068978,0.7352307508164766,0.596805909409572,0.5,0.5084033613445378,0.42105263157894735,0.4567307692307692,0.4578313253012048,0.4556354916067146,0.4665127020785219,0.4803921568627451,0.4631578947368421
