,Seed,Metric,ExtraTrees,KNN
0,3416737436,0.749791492910759,0.7306088407005839,0.7706422018348624
1,2239457848,0.7631359466221852,0.7172643869891576,0.7639699749791493
2,914000660,0.7581317764804003,0.74395329441201,0.7781484570475397
3,3869114068,0.7456213511259383,0.7297748123436196,0.7656380316930775
4,3079940280,0.7231025854879066,0.7114261884904087,0.7581317764804003
5,1559156892,0.7456213511259383,0.7464553794829024,0.7673060884070059
6,538113704,0.7247706422018348,0.7231025854879066,0.737281067556297
7,3244661712,0.7572977481234362,0.7531276063386155,0.7831526271893244
8,1827308024,0.7489574645537949,0.7456213511259383,0.7798165137614679
9,153226636,0.7431192660550459,0.7206005004170142,0.7781484570475397
