Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1,F1,F1,F1,F1
Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
0.9117361784675073,0.9127061105722599,0.9175557710960233,0.9078564500484966,0.8865179437439379,0.8583899127061105,0.7856450048496605,0.9165858389912707,0.7875848690591658,0.9069049779275536,0.9075530463025794,0.9635709329897301,0.9638225360059165,0.9468698297486257,0.9201808491983012,0.8757195465046241,0.9643943610427039,0.7871552848069899,0.9229466553767993,0.9239864864864865,0.9288702928870293,0.9203688181056161,0.902418682235196,0.8793388429752066,0.8244638602065131,0.9276094276094277,0.805678793256433
0.8865179437439379,0.8913676042677012,0.9175557710960233,0.9233753637245393,0.9117361784675073,0.8971871968962173,0.8545101842870999,0.9059165858389913,0.8108632395732299,0.8882711060621079,0.8937415655807074,0.9617944632087773,0.9620003202220206,0.9571931777460944,0.9390243902439023,0.905027485723435,0.9588705311873374,0.8109603610884498,0.8954423592493298,0.8994614003590664,0.9261511728931364,0.9311246730601569,0.9208006962576153,0.9079861111111112,0.8733108108108109,0.9134701159678859,0.8266666666666667
0.9146459747817652,0.9136760426770126,0.9088263821532493,0.9078564500484966,0.8962172647914646,0.8806983511154219,0.8516003879728419,0.9165858389912707,0.8215324927255092,0.9099642418743662,0.9086471382062993,0.9726610449911939,0.9738771262360952,0.9611139914150002,0.9310664918152777,0.8955790300322509,0.9687573860733918,0.8149669485128738,0.9254237288135593,0.9247675401521556,0.9204737732656514,0.9202350965575147,0.9113504556752279,0.8989317995069844,0.8765133171912833,0.9269949066213922,0.8448566610455311
0.9000969932104753,0.8991270611057226,0.906886517943744,0.9000969932104753,0.8942774005819593,0.8768186226964112,0.8438409311348206,0.906886517943744,0.8050436469447139,0.894444910375956,0.8931278067078888,0.9687859773252312,0.967028568378838,0.9588285973513063,0.9425239594690413,0.908973078477268,0.9667693410288276,0.7965903979139822,0.9132266217354675,0.9126050420168067,0.9190556492411467,0.913372582001682,0.9087866108786611,0.8949545078577337,0.8677074774034511,0.9183673469387755,0.832639467110741
0.8593598448108632,0.8642095053346266,0.8845780795344326,0.8642095053346266,0.8612997090203686,0.8516003879728419,0.8011639185257032,0.8923375363724539,0.7206595538312318,0.8587515915796857,0.8642220510982853,0.9586475194229904,0.9467306856563409,0.9256379661327092,0.9048921537980619,0.8764876981373753,0.9549363749342401,0.7225905199033233,0.872471416007036,0.8763250883392226,0.8997472620050547,0.8795180722891566,0.8768303186907838,0.8704487722269263,0.8323793949304987,0.9035621198957429,0.7377049180327869
0.8739088263821533,0.8903976721629486,0.9107662463627546,0.9078564500484966,0.8942774005819593,0.8865179437439379,0.8486905916585838,0.8991270611057226,0.7846750727449079,0.8700336995555014,0.8877412148613515,0.9728535594202458,0.9712295763157694,0.9569072652277008,0.9335424942245671,0.9025991354005444,0.9616686617006839,0.7847650561532187,0.8886986301369864,0.902502157031924,0.922165820642978,0.9191489361702128,0.9067579127459366,0.8997429305912596,0.8684654300168634,0.9101899827288429,0.8021390374331551
0.8981571290009699,0.9000969932104753,0.9165858389912707,0.9146459747817652,0.903976721629486,0.88360814742968,0.8302618816682832,0.9088263821532493,0.8108632395732299,0.9005081618493584,0.9026963456567982,0.9661803612409365,0.9651853856769265,0.9572484541663171,0.941908294512767,0.9156805861587843,0.9612416990065493,0.8096222905023672,0.905829596412556,0.9074573225516622,0.9244288224956063,0.9236111111111112,0.9142857142857143,0.8983050847457628,0.8598879103282626,0.9160714285714285,0.8284960422163589
0.88360814742968,0.9030067895247332,0.903976721629486,0.9000969932104753,0.8806983511154219,0.8680892337536372,0.8399612027158099,0.9078564500484966,0.7652764306498545,0.8738382421335935,0.8943820096219093,0.9736445840544683,0.9727334761625203,0.9550145243559344,0.91805937831182,0.868093306597336,0.9641865979460045,0.7595380416136139,0.9018003273322422,0.9176276771004942,0.918785890073831,0.9142381348875936,0.896551724137931,0.8831615120274914,0.8553900087642419,0.9210307564422278,0.7935153583617748
0.8962172647914646,0.9030067895247332,0.8962172647914646,0.8855480116391853,0.8845780795344326,0.8661493695441319,0.8244422890397672,0.9030067895247332,0.7875848690591658,0.8967588956914889,0.9017413978453632,0.9584092589909957,0.9559694721673694,0.9388299697313945,0.9213206871049642,0.8894585960551697,0.957759284532514,0.7786808377618005,0.905393457117595,0.9128919860627178,0.9090909090909091,0.9005059021922428,0.9005847953216374,0.886326194398682,0.8555466879489226,0.9128919860627178,0.8179551122194514
