,Seed,Metric,ExtraTrees,KNN
0,2067992824,0.8929862617498192,0.900939985538684,0.7570498915401301
1,520209740,0.8828633405639913,0.8857556037599421,0.7780187997107737
2,1608375152,0.900939985538684,0.9002169197396963,0.7642805495300072
3,2932359864,0.8944323933477947,0.9038322487346349,0.7722342733188721
4,3842049076,0.9052783803326103,0.9031091829356471,0.767172812725958
5,641019492,0.8799710773680405,0.8893709327548807,0.7621113521330442
6,2905778204,0.8951554591467824,0.911062906724512,0.7664497469269703
7,3803574616,0.9023861171366594,0.9117859725234997,0.7700650759219089
8,524151632,0.8994938539407086,0.911062906724512,0.7751265365148229
9,1572568544,0.8944323933477947,0.8922631959508315,0.7729573391178597
