Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1,F1,F1,F1,F1
Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
0.6928327645051194,0.6962457337883959,0.7201365187713311,0.7337883959044369,0.7406143344709898,0.7372013651877133,0.7372013651877133,0.7201365187713311,0.6962457337883959,0.6412337662337663,0.618476430976431,0.6470057720057719,0.6575577200577201,0.664592352092352,0.677338864838865,0.6330266955266954,0.6537999037999038,0.605940355940356,0.47674418604651164,0.44025157232704404,0.36923076923076925,0.3389830508474576,0.2549019607843137,0.07228915662650602,0.04938271604938271,0.3880597014925373,0.41830065359477125
0.6825938566552902,0.6860068259385665,0.7167235494880546,0.7372013651877133,0.7337883959044369,0.7337883959044369,0.7303754266211604,0.7064846416382252,0.6075085324232082,0.6217532467532467,0.6282467532467533,0.650012025012025,0.6499218374218374,0.6400613275613276,0.6108405483405482,0.5718193843193844,0.6355218855218855,0.5457551707551708,0.44970414201183434,0.4588235294117647,0.3252032520325203,0.33043478260869563,0.2777777777777778,0.25,0.2616822429906542,0.38571428571428573,0.3575418994413408
0.6109215017064846,0.6655290102389079,0.7201365187713311,0.7372013651877133,0.7372013651877133,0.7372013651877133,0.7372013651877133,0.6962457337883959,0.658703071672355,0.5940355940355941,0.5976430976430976,0.6719877344877345,0.6812770562770563,0.6908970658970659,0.7061688311688312,0.650913900913901,0.6417147667147667,0.605549543049543,0.43,0.4166666666666667,0.31666666666666665,0.15384615384615385,0.07228915662650602,0.04938271604938271,0.04938271604938271,0.4105960264900662,0.4318181818181818
0.6279863481228669,0.658703071672355,0.7201365187713311,0.726962457337884,0.7337883959044369,0.7372013651877133,0.7372013651877133,0.6723549488054608,0.6382252559726962,0.4802489177489177,0.5261544011544012,0.49407768157768156,0.5048100048100048,0.5224867724867724,0.5595839345839345,0.6241582491582491,0.44832251082251084,0.4955507455507455,0.1925925925925926,0.2753623188405797,0.14583333333333334,0.09090909090909091,0.025,0.02531645569620253,0.02531645569620253,0.1111111111111111,0.22058823529411764
0.7064846416382252,0.7133105802047781,0.7474402730375427,0.7440273037542662,0.7440273037542662,0.7372013651877133,0.7406143344709898,0.7167235494880546,0.6962457337883959,0.5794552669552671,0.5924422799422799,0.6197089947089947,0.6192881192881191,0.6173039923039924,0.6142977392977393,0.5997474747474747,0.6481782106782106,0.5683321308321309,0.3582089552238806,0.38235294117647056,0.26,0.17582417582417584,0.07407407407407407,0.02531645569620253,0.02564102564102564,0.35658914728682173,0.34074074074074073
0.5221843003412969,0.5051194539249146,0.6689419795221843,0.6996587030716723,0.7337883959044369,0.7337883959044369,0.7337883959044369,0.5426621160409556,0.4709897610921502,0.4628126503126503,0.47631072631072635,0.551497113997114,0.5607864357864358,0.5767195767195766,0.6040764790764791,0.6304112554112555,0.5136784511784511,0.4322691197691197,0.2708333333333333,0.3062200956937799,0.19834710743801653,0.12,0.0,0.0,0.0,0.26373626373626374,0.2583732057416268
0.6768707482993197,0.6428571428571429,0.7278911564625851,0.7346938775510204,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.6462585034013606,0.6462585034013606,0.6367521367521368,0.6258903133903134,0.6921889838556505,0.6968779677113011,0.7006172839506173,0.7076210826210826,0.6721866096866098,0.6762820512820512,0.6323005698005697,0.47513812154696133,0.467005076142132,0.3103448275862069,0.04878048780487805,0.04938271604938271,0.04938271604938271,0.04938271604938271,0.46938775510204084,0.47474747474747475
0.6972789115646258,0.7074829931972789,0.7312925170068028,0.7312925170068028,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7210884353741497,0.6292517006802721,0.5073005698005698,0.5142450142450142,0.45121082621082614,0.4407644824311491,0.43221747388414056,0.4071699905033238,0.3041310541310541,0.5333867521367521,0.48967236467236464,0.1523809523809524,0.1568627450980392,0.04819277108433735,0.0,0.0,0.0,0.0,0.08888888888888889,0.2158273381294964
0.6768707482993197,0.6938775510204082,0.7142857142857143,0.7278911564625851,0.7278911564625851,0.7312925170068028,0.7312925170068028,0.7074829931972789,0.7312925170068028,0.5179843304843306,0.5377492877492877,0.5844313865147198,0.5886158594491928,0.5881410256410257,0.5852326685660019,0.571403133903134,0.6032466761633428,0.5714031339031339,0.22764227642276422,0.26229508196721313,0.06666666666666667,0.047619047619047616,0.0,0.0,0.0,0.12244897959183673,0.3130434782608696
0.7380952380952381,0.7380952380952381,0.7278911564625851,0.7312925170068028,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7448979591836735,0.5432692307692307,0.5309829059829059,0.5895061728395061,0.5912571225071225,0.5840752611585945,0.5741037511870845,0.5529142924976258,0.6046415004748339,0.551994301994302,0.20618556701030927,0.15384615384615385,0.024390243902439025,0.0,0.0,0.0,0.0,0.11363636363636363,0.2268041237113402
0.7040816326530612,0.7278911564625851,0.7517006802721088,0.7482993197278912,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7244897959183674,0.6802721088435374,0.5856481481481481,0.5895655270655271,0.6795465337132004,0.6832264957264957,0.6870845204178537,0.6910018993352327,0.652065527065527,0.6604641500474834,0.5694444444444444,0.37410071942446044,0.36507936507936506,0.1797752808988764,0.0975609756097561,0.0,0.0,0.0,0.36220472440944884,0.3561643835616438
0.608843537414966,0.6054421768707483,0.7448979591836735,0.7517006802721088,0.7448979591836735,0.7312925170068028,0.7346938775510204,0.6938775510204082,0.6938775510204082,0.565883190883191,0.5471866096866097,0.6127433523266856,0.6165716999050332,0.6236942070275404,0.6430436847103514,0.6702872744539411,0.5965099715099715,0.566417378917379,0.3915343915343915,0.3626373626373626,0.4,0.35398230088495575,0.21052631578947367,0.04819277108433735,0.04878048780487805,0.3918918918918919,0.3382352941176471
0.6156462585034014,0.5986394557823129,0.7074829931972789,0.7312925170068028,0.7312925170068028,0.7346938775510204,0.7346938775510204,0.6768707482993197,0.7006802721088435,0.47631766381766383,0.4606481481481482,0.5532407407407408,0.558374881291548,0.561698717948718,0.5666251187084521,0.49510327635327633,0.4871201329534663,0.5178062678062678,0.19858156028368795,0.18055555555555555,0.044444444444444446,0.0,0.0,0.0,0.0,0.020618556701030927,0.18518518518518517
0.4897959183673469,0.46938775510204084,0.6598639455782312,0.7244897959183674,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.5238095238095238,0.5306122448979592,0.3947649572649573,0.405448717948718,0.3829831433998101,0.3809354226020893,0.3787393162393162,0.37505935422602094,0.38514957264957267,0.35947886989553657,0.4716880341880342,0.16666666666666666,0.21212121212121213,0.13793103448275862,0.10989010989010989,0.0,0.0,0.0,0.1566265060240964,0.28125
