Metric,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1
Model,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN
0,0.6905537459283387,0.7214983713355049,0.7068403908794788,0.6889250814332247,0.660373831775701,0.7809929906542057,0.7580315420560748,0.6569509345794391,0.5581395348837209,0.5604113110539846,0.5454545454545454,0.5526932084309133
1,0.6840390879478827,0.6954397394136808,0.7149837133550488,0.6693811074918566,0.6401635514018692,0.7612149532710282,0.7420385514018691,0.6310864485981308,0.5221674876847291,0.4876712328767123,0.5333333333333333,0.5155131264916468
2,0.7247557003257329,0.7345276872964169,0.7280130293159609,0.6758957654723127,0.6703271028037383,0.7611448598130841,0.7703271028037384,0.6328271028037383,0.554089709762533,0.5382436260623229,0.5131195335276968,0.5134474327628362
3,0.6829268292682927,0.6861788617886179,0.7235772357723578,0.656910569105691,0.6519186046511628,0.7389302325581395,0.7522151162790698,0.6200872093023255,0.5475638051044084,0.4880636604774536,0.543010752688172,0.5035294117647059
4,0.7073170731707317,0.7430894308943089,0.7219512195121951,0.7138211382113822,0.6728197674418605,0.7851279069767441,0.7727732558139535,0.6831976744186047,0.5714285714285714,0.5586592178770949,0.5263157894736842,0.5868544600938967
5,0.6986970684039088,0.6970684039087948,0.7182410423452769,0.6791530944625407,0.6622780373831775,0.7648831775700934,0.7670560747663552,0.6483644859813085,0.5563549160671463,0.5105263157894737,0.5361930294906166,0.54292343387471
6,0.737785016286645,0.7247557003257329,0.755700325732899,0.6840390879478827,0.709661214953271,0.7853621495327101,0.7706366822429906,0.6597196261682242,0.6211764705882353,0.5633074935400517,0.5989304812834224,0.5610859728506787
7,0.7068403908794788,0.7361563517915309,0.742671009771987,0.6921824104234527,0.6783060747663552,0.7774532710280375,0.7764661214953271,0.6692289719626168,0.5813953488372093,0.6009852216748769,0.605,0.5733634311512416
8,0.7040650406504065,0.7138211382113822,0.7138211382113822,0.6601626016260163,0.6455813953488373,0.7647906976744185,0.7687151162790697,0.5989244186046512,0.5159574468085106,0.45,0.4823529411764706,0.44854881266490765
9,0.7268292682926829,0.7430894308943089,0.7024390243902439,0.6796747967479675,0.6749127906976745,0.7760697674418603,0.7655116279069767,0.6354360465116279,0.5625,0.572972972972973,0.49586776859504134,0.515970515970516
