,Seed,Metric,KernelMix,ExtraTrees,KNN
0,855613620,0.9375,0.9725,0.92,0.97375
1,3097128032,0.97125,0.98125,0.95375,0.98
2,1355511240,0.9425,0.9825,0.9225,0.975
3,710990648,0.94625,0.96375,0.92,0.96875
4,3879483852,0.93625,0.9775,0.90625,0.9675
5,2008312960,0.93,0.97625,0.895,0.97875
6,105623568,0.96375,0.97625,0.94875,0.96875
7,3528495472,0.955,0.98,0.92,0.98
8,2524980580,0.9475,0.97375,0.945,0.975
9,536398188,0.9375,0.97625,0.9175,0.9825
10,3169254792,0.92125,0.98,0.89625,0.975
11,1798759800,0.95875,0.9775,0.9325,0.97875
12,366834908,0.94625,0.97375,0.9225,0.975
13,2653408912,0.9475,0.97625,0.9325,0.975
14,1089874120,0.93375,0.97125,0.90125,0.96875
15,606329028,0.94375,0.9725,0.9325,0.97625
16,3783543432,0.9325,0.97875,0.895,0.9825
17,2867571940,0.955,0.97625,0.90625,0.98
18,2041580348,0.9575,0.96625,0.9275,0.96875
19,1611900156,0.945,0.9725,0.905,0.98375
