,Seed,Metric,ExtraTrees,KNN
0,1747833656,0.962457337883959,0.9692832764505119,0.6996587030716723
1,2855534556,0.9556313993174061,0.9419795221843004,0.6860068259385665
2,3704004356,0.9556313993174061,0.9692832764505119,0.764505119453925
3,371750060,0.962457337883959,0.9488054607508533,0.6689419795221843
4,1221840960,0.9488054607508533,0.9488054607508533,0.689419795221843
5,2122743460,0.9488054607508533,0.9488054607508533,0.7167235494880546
6,2999863560,0.9692832764505119,0.9590443686006825,0.6962457337883959
7,3867468860,0.9726962457337884,0.9795221843003413,0.6450511945392492
8,393112564,0.9726962457337884,0.9726962457337884,0.6791808873720137
9,1175555664,0.9692832764505119,0.9726962457337884,0.6860068259385665
