,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0,Seed
0,0.92375,0.9275,0.9325,0.93125,0.93125,0.93,0.92875,0.93,0.93,0.93125,0.93125,39304116
1,0.91125,0.9275,0.93,0.93,0.9275,0.9275,0.9275,0.9275,0.9275,0.92875,0.92875,431859944
2,0.915,0.94125,0.9425,0.94875,0.9475,0.94875,0.94875,0.95125,0.9525,0.95125,0.95,2898108372
3,0.92375,0.945,0.9475,0.94625,0.9425,0.94125,0.94125,0.94125,0.93875,0.93875,0.94,178347204
4,0.9325,0.9425,0.94,0.93875,0.935,0.9325,0.93125,0.9325,0.9325,0.9325,0.935,2728615532
5,0.89125,0.90125,0.90625,0.90625,0.90625,0.91,0.90875,0.90875,0.91,0.91,0.91125,1019405964
6,0.935,0.95375,0.9575,0.95875,0.9575,0.95625,0.95375,0.95375,0.955,0.95375,0.95625,3534822488
7,0.90875,0.92625,0.925,0.925,0.9275,0.93,0.93125,0.93,0.92875,0.9275,0.92625,3681238916
8,0.885,0.915,0.92375,0.925,0.92375,0.925,0.91875,0.92,0.91875,0.92125,0.9225,915999144
9,0.92625,0.93875,0.94375,0.945,0.95,0.95375,0.95,0.9525,0.955,0.9525,0.95125,3072631564
10,0.885,0.91375,0.92,0.925,0.9225,0.92625,0.93,0.93,0.93,0.92875,0.9275,686541088
11,0.88375,0.91,0.9125,0.9075,0.90625,0.9025,0.9,0.9025,0.9025,0.90125,0.90125,2627627008
12,0.9275,0.9475,0.95,0.95125,0.945,0.945,0.94625,0.945,0.94125,0.9425,0.9425,405603032
13,0.92375,0.94,0.9425,0.9375,0.935,0.93625,0.935,0.93375,0.9375,0.935,0.935,1580764452
14,0.915,0.9425,0.94375,0.95,0.95,0.95,0.9475,0.9475,0.94625,0.945,0.94625,3487010172
15,0.92375,0.93875,0.94,0.94,0.94,0.94125,0.94375,0.945,0.94625,0.945,0.945,4149567000
16,0.92375,0.9425,0.94125,0.945,0.9475,0.94875,0.95125,0.95,0.94875,0.95,0.95,2584785928
17,0.91625,0.9325,0.9375,0.935,0.94,0.94,0.94375,0.945,0.945,0.94625,0.94625,3737375952
18,0.92,0.93375,0.93125,0.935,0.9375,0.93625,0.935,0.93625,0.93375,0.93375,0.93375,1741087376
19,0.94,0.95,0.955,0.9575,0.95875,0.96125,0.9625,0.95875,0.9575,0.9575,0.95875,3760170096
20,0.92125,0.9325,0.93375,0.93375,0.93375,0.935,0.935,0.9375,0.93875,0.94,0.9375,1088802120
21,0.91125,0.91375,0.91125,0.9125,0.9125,0.90875,0.90875,0.91,0.91,0.915,0.915,275069740
22,0.9225,0.93875,0.9375,0.9375,0.9375,0.9375,0.94,0.94125,0.9425,0.94125,0.9425,516254560
23,0.9075,0.93,0.93625,0.93625,0.935,0.9325,0.93,0.92875,0.92375,0.92625,0.9275,716280280
24,0.90625,0.9275,0.93375,0.9325,0.93625,0.9425,0.94375,0.94375,0.94125,0.9425,0.94125,2109377100
25,0.91125,0.92375,0.925,0.92875,0.93375,0.93625,0.93625,0.93875,0.94,0.94,0.94,4154967624
26,0.91875,0.93125,0.93375,0.9325,0.9325,0.93375,0.93375,0.9325,0.93,0.93,0.93,1000654056
27,0.90875,0.93125,0.92875,0.93125,0.93125,0.93,0.9325,0.9325,0.93,0.93,0.9275,1650732184
28,0.915,0.9325,0.9325,0.9275,0.9325,0.93375,0.93625,0.93375,0.93375,0.93125,0.92875,464077716
29,0.93,0.94875,0.95125,0.955,0.95125,0.9525,0.95375,0.95375,0.95125,0.9525,0.9525,3906056740
