,Seed,Metric,KernelMix,ExtraTrees,KNN
0,973771904,0.94875,0.98125,0.91625,0.9825
1,291963416,0.93875,0.975,0.895,0.965
2,3859692620,0.905,0.98,0.8675,0.97625
3,3801854528,0.93625,0.98,0.9225,0.975
4,2048553440,0.9475,0.975,0.92,0.97875
5,1835420248,0.9425,0.975,0.90625,0.9775
6,2044175956,0.935,0.98,0.915,0.97
7,1638700164,0.94375,0.97875,0.91375,0.97625
8,946402372,0.945,0.97375,0.895,0.9675
9,97986380,0.92875,0.97625,0.89375,0.9725
10,2114739584,0.94625,0.9825,0.8925,0.96375
11,3554479288,0.93375,0.97375,0.90875,0.97
12,631860596,0.95375,0.98,0.91625,0.9875
13,1941376100,0.91,0.97625,0.89125,0.98375
14,149116308,0.955,0.98375,0.94375,0.97125
15,2281511912,0.94375,0.9775,0.91625,0.97625
16,65770520,0.9275,0.98,0.88875,0.98125
17,2185417024,0.94,0.97375,0.90125,0.98
18,4135413028,0.92125,0.97375,0.87375,0.96375
19,3226196736,0.93875,0.985,0.915,0.9825
