,Seed,Metric,KernelMix,ExtraTrees,KNN
0,3820790144,0.69625,0.87625,0.6275,0.88375
1,1167621956,0.69625,0.87125,0.64375,0.86625
2,3600591960,0.6625,0.88875,0.63625,0.88
3,2941558168,0.64875,0.8525,0.6625,0.85125
4,1059872376,0.69125,0.875,0.67375,0.88125
5,2876280380,0.6775,0.88375,0.65625,0.88
6,181408988,0.625,0.87625,0.64875,0.885
7,3297018292,0.645,0.88125,0.61,0.8775
8,3202047100,0.64375,0.8725,0.6225,0.875
9,2786441708,0.69625,0.88,0.67,0.86875
10,1462480616,0.65375,0.88375,0.62875,0.885
11,3573998720,0.725,0.87,0.69375,0.87375
12,1154360428,0.7225,0.85,0.65625,0.845
13,2979830232,0.7,0.8675,0.65875,0.87125
14,581837040,0.675,0.89,0.62,0.88625
15,3495876344,0.68625,0.88125,0.6375,0.87125
16,1125344452,0.64625,0.87875,0.6,0.87625
17,2994889756,0.6825,0.89375,0.645,0.89375
18,690487964,0.7525,0.875,0.7125,0.8775
19,2592049168,0.6425,0.87625,0.63,0.87
